ProteinName	GeneID	ChlamydomonasID	logFC	logCPM	PValue	FDR	TMM:DC70.R1TWB	TMM:DC70.R2T6	TMM:DC70.R3TWB	TMM:DC78.R1T6_7	TMM:DC78.R2T6_7	TMM:DC78.R3T6_7
Carbonic.anhydrase	NULL	Cre04.g223100	-	-	-	-	-	-	-	-	-	-
Carbonic.anhydrase	comp390023_c0	Cre09.g405750	-4.59	-4.1	0.19	1.0	0.00	0.00	1.29	0.00	0.00	0.00
Carbonic.anhydrase	NULL	Cre13.g607350	-	-	-	-	-	-	-	-	-	-
Carbonic.anhydrase.3	comp47884_c0	Cre09.g415700	-0.23	3.83	0.75	1.0	9.45	4.21	7.02	6.07	4.68	7.35
Carbonic.anhydrase.6	NULL	Cre12.g485050	-	-	-	-	-	-	-	-	-	-
Carbonic.anhydrase.alpha.type.periplasmic	NULL	Cre04.g223050	-	-	-	-	-	-	-	-	-	-
Formate.nitrite.transporter	NULL	Cre01.g012050	-	-	-	-	-	-	-	-	-	-
Formate.nitrite.transporter	NULL	Cre07.g335600	-	-	-	-	-	-	-	-	-	-
Formate.nitrite.transporter	NULL	g4546.t1	-	-	-	-	-	-	-	-	-	-
Gamma.carbonic.anhydrase	NULL	Cre06.g293850	-	-	-	-	-	-	-	-	-	-
Gamma.carbonic.anhydrase	comp42411_c0	Cre09.g415850	-0.03	6.51	0.98	1.0	82.90	58.72	108.41	91.47	82.45	78.22
Gamma.carbonic.anhydrase	NULL	Cre12.g516450	-	-	-	-	-	-	-	-	-	-
Glutamate-1-semialdehyde.aminotransferase	comp52231_c0	Cre03.g158000	-0.9	6.88	0.2	1.0	8.41	227.74	8.97	41.64	37.74	35.81
Glutamyl-tRNA.reductase	comp32386_c0	Cre07.g342150	-1.02	7.68	0.09	0.87	55.17	294.94	73.29	70.13	76.99	43.54
High.affinity.nitrate.transporter	NULL	Cre09.g410800	-	-	-	-	-	-	-	-	-	-
Iron.permease.membrane.protein	NULL	Cre03.g192050	-	-	-	-	-	-	-	-	-	-
Light-harvesting.protein.of.photosystem.I	NULL	Cre12.g508750	-	-	-	-	-	-	-	-	-	-
Light-harvesting.protein.of.photosystem.II	NULL	Cre12.g548400	-	-	-	-	-	-	-	-	-	-
Low-affinity.phosphate.transporter	NULL	Cre06.g251650	-	-	-	-	-	-	-	-	-	-
Mitochondrial.carbonic.anhydrase	NULL	Cre05.g248450	-	-	-	-	-	-	-	-	-	-
Mitochondrial.carbonic.anhydrase.beta.type	NULL	Cre05.g248400	-	-	-	-	-	-	-	-	-	-
Nitrate.reductase	comp51273_c0	Cre09.g410950	2.74	5.54	0.02	0.42	0.50	29.17	0.30	52.04	94.18	21.70
Nitrate.transporter	comp53134_c0	Cre09.g396000	3.34	6.21	0.0	0.01	4.04	7.33	5.49	89.65	67.39	5.77
Nitrite.reductase	comp46132_c0	Cre09.g410750	2.76	2.79	0.0	0.2	0.56	4.43	0.38	12.40	17.25	1.50
Nitrite.transporter	NULL	Cre12.g541250	-	-	-	-	-	-	-	-	-	-
Nitrogen.regulatory.protein.PII	comp45672_c0	Cre07.g357350	0.91	5.48	0.11	0.95	16.50	18.17	32.90	55.05	41.09	35.05
Phosphate-repressible.alkaline.phosphatase	comp50547_c0	Cre04.g216700	0.47	4.35	0.89	1.0	0.00	40.95	0.08	9.00	32.91	4.58
Phosphate.acetyltransferase	NULL	Cre09.g396650	-	-	-	-	-	-	-	-	-	-
Phosphate.acetyltransferase	comp54517_c0	Cre17.g699000	-0.34	7.78	0.49	1.0	23.57	149.08	45.38	34.29	84.99	38.76
Single.helix.LHC.light.protein	comp43445_c0	Cre02.g109950	0.57	5.14	0.35	1.0	32.16	43.79	34.90	41.06	65.16	56.27
Transcription.factor.regulating.nitrogen.metabolism	comp42254_c0	Cre03.g177700	0.21	0.74	0.76	1.0	1.86	1.86	1.50	1.57	1.88	2.58
