Label,DC10_R1T6_1,DC10_R2T6_1,DC10_R3T6_1,DC12_R1T6_1,DC12_R1T6_2,DC12_R2T6_1,DC12_R2T6_2,DC12_R3T6_1,DC12_R3T6_2,DC13_R1T6_1,DC13_R1T6_3,DC13_R2T6_1,DC13_R2T6_3,DC13_R3T6_1,DC13_R3T6_3,DC14_R1T6_1,DC14_R1T6_4,DC14_R2T6_1,DC14_R2T6_4,DC14_R3T6_1,DC14_R3T6_4,DC15_R1T6_1,DC15_R1T6_5,DC15_R2T6_1,DC15_R2T6_5,DC15_R3T6_1,DC15_R3T6_5,DC16_R1T6_1,DC16_R1T6_6,DC16_R2T6_1,DC16_R2T6_6,DC16_R3T6_1,DC16_R3T6_6,DC17_R1T6_1,DC17_R1T6_7,DC17_R2T6_1,DC17_R2T6_7,DC17_R3T6_1,DC17_R3T6_7,DC18_R1T6_1,DC18_R1T6_8,DC18_R2T6_1,DC18_R2T6_8,DC18_R3T6_1,DC18_R3T6_8,DC20_R1T6_2,DC20_R2T6_2,DC20_R3T6_2,DC23_R1T6_2,DC23_R1T6_3,DC23_R2T6_2,DC23_R2T6_3,DC23_R3T6_2,DC23_R3T6_3,DC24_R1T6_2,DC24_R1T6_4,DC24_R2T6_2,DC24_R2T6_4,DC24_R3T6_2,DC24_R3T6_4,DC25_R1T6_2,DC25_R1T6_5,DC25_R2T6_2,DC25_R2T6_5,DC25_R3T6_2,DC25_R3T6_5,DC26_R1T6_2,DC26_R1T6_6,DC26_R2T6_2,DC26_R2T6_6,DC27_R1T6_2,DC27_R1T6_7,DC27_R2T6_2,DC27_R2T6_7,DC27_R3T6_2,DC27_R3T6_7,DC28_R1T6_2,DC28_R1T6_8,DC28_R2T6_2,DC28_R2T6_8,DC30_R1T6_3,DC30_R2T6_3,DC30_R3T6_3,DC34_R1T6_3,DC34_R1T6_4,DC34_R2T6_3,DC34_R2T6_4,DC34_R3T6_3,DC34_R3T6_4,DC35_R1T6_3,DC35_R1T6_5,DC35_R2T6_3,DC35_R2T6_5,DC35_R3T6_3,DC35_R3T6_5,DC36_R1T6_3,DC36_R1T6_6,DC36_R2T6_3,DC36_R2T6_6,DC36_R3T6_3,DC36_R3T6_6,DC37_R1T6_3,DC37_R1T6_7,DC37_R2T6_3,DC37_R2T6_7,DC37_R3T6_3,DC37_R3T6_7,DC38_R1T6_3,DC38_R1T6_8,DC38_R2T6_3,DC38_R2T6_8,DC38_R3T6_3,DC38_R3T6_8,DC40_R1T6_4,DC40_R2T6_4,DC40_R3T6_4,DC45_R1T6_4,DC45_R1T6_5,DC45_R2T6_4,DC45_R2T6_5,DC45_R3T6_4,DC45_R3T6_5,DC46_R1T6_4,DC46_R1T6_6,DC46_R2T6_4,DC46_R2T6_6,DC46_R3T6_4,DC46_R3T6_6,DC47_R1T6_4,DC47_R1T6_7,DC47_R2T6_4,DC47_R2T6_7,DC47_R3T6_4,DC47_R3T6_7,DC48_R1T6_4,DC48_R1T6_8,DC48_R2T6_4,DC48_R2T6_8,DC48_R3T6_4,DC48_R3T6_8,DC50_R1TWB_5,DC50_R2TWB_5,DC50_R3TWB_5,DC56_R1T6_5,DC56_R1T6_6,DC56_R2T6_5,DC56_R2T6_6,DC56_R3T6_5,DC56_R3T6_6,DC57_R1TWB_5,DC57_R1TWB_7,DC57_R2TWB_5,DC57_R2TWB_7,DC57_R3TWB_5,DC57_R3TWB_7,DC58_R1T6_5,DC58_R1T6_8,DC58_R2T6_5,DC58_R2T6_8,DC58_R3T6_5,DC58_R3T6_8,DC60_R1T6_6,DC60_R2T6_6,DC60_R3T6_6,DC67_R1T6_6,DC67_R1T6_7,DC67_R2T6_6,DC67_R2T6_7,DC67_R3T6_6,DC67_R3T6_7,DC68_R1T6_6,DC68_R1T6_8,DC68_R2T6_6,DC68_R2T6_8,DC68_R3T6_6,DC68_R3T6_8,DC70_R1TWB_7,DC70_R2T6_7,DC70_R3TWB_7,DC78_R1T6_7,DC78_R1T6_8,DC78_R2T6_7,DC78_R2T6_8,DC78_R3T6_7,DC78_R3T6_8,DN82_R3TX_8,DN86_R1TX_8
PTHR11649,7470.49,7033.96,5407.77,3901.91,616.0,3561.62,1114.04,9019.8,121.0,2201.0,2784.24,5747.74,2274.0,1837.0,4610.92,6126.99,35.0,5235.0,9.0,4201.05,0.0,5312.02,990.0,5727.85,1219.06,3232.78,1203.0,3447.85,1155.0,2447.18,147.0,1957.0,2762.0,5583.26,122.0,6802.22,434.0,7452.3,418.03,6396.14,24.0,4920.14,13.0,5177.22,62.0,1143.07,1385.0,58.0,2185.0,575.01,1153.74,585.0,1585.9,173.0,1637.05,3.0,1804.0,5.0,1859.92,132.0,199.0,3347.33,168.0,3054.0,212.0,3115.0,879.0,1477.93,160.0,3879.57,953.0,815.0,1395.0,205.0,14.0,5425.21,1524.47,555.0,1224.0,134.0,4020.0,10469.61,7471.15,7509.37,242.0,4084.4,3.0,4272.27,3.0,80.0,4467.07,46.0,6069.95,22.0,3557.15,448.02,1.0,719.48,0.0,559.68,0.0,4156.5,1.0,5474.62,4.0,6023.15,4.0,5718.44,168.84,8350.08,191.0,3574.47,16.0,2358.68,3389.18,2858.91,0.0,5552.4,1.0,4612.0,0.0,4696.29,3900.87,48.0,2181.23,500.0,176.0,3561.99,69.0,3603.26,110.23,4244.42,214.0,4718.5,141.0,2438.0,1.0,3163.11,0.0,3122.99,3558.08,4275.0,4038.04,7325.32,2.0,5607.73,2.0,5960.65,0.0,4858.17,118.0,2923.39,352.76,6059.94,165.14,3922.07,58.0,6159.99,45.0,3500.04,14.0,4078.15,4036.11,5210.94,5228.92,829.53,1598.01,263.0,5518.06,1353.11,1653.0,1238.0,915.0,1063.8,1354.0,782.0,5076.14,4379.8,6685.24,4949.91,245.02,6454.62,124.0,4103.32,260.02,2970.03,3041.96
PTHR31089,143.0,160.01,117.0,117.04,133.0,101.02,203.0,190.0,21.0,79.0,953.0,194.0,782.0,64.0,1431.95,120.0,5.0,111.0,1.0,119.0,0.0,100.0,16.0,119.59,18.0,107.0,28.0,105.0,25.0,61.0,2.0,80.0,57.0,108.0,49.0,174.0,75.0,184.0,79.24,114.02,2.0,96.0,0.0,159.0,2.0,244.0,268.0,33.0,383.0,151.0,176.0,178.97,165.0,32.0,275.0,1.0,257.0,0.0,272.0,25.79,42.0,20.0,64.0,15.0,59.0,27.0,74.0,20.33,15.0,66.0,249.0,180.05,313.0,61.05,0.0,421.0,258.98,24.0,224.0,5.0,1048.01,4227.95,2686.2,1123.02,76.0,1052.0,1.0,897.0,1.0,19.0,46.0,13.0,62.0,10.0,36.0,107.0,0.0,129.0,0.0,168.0,0.0,493.1,0.0,852.54,0.0,1073.99,0.0,468.0,10.0,1271.0,8.0,345.0,1.0,786.57,801.24,966.12,0.0,73.29,0.0,46.0,0.0,69.76,665.86,0.0,343.29,8.0,22.0,64.0,20.0,773.82,38.06,884.51,56.0,1043.93,29.03,191.0,0.0,184.02,0.0,195.0,65.02,73.0,68.0,66.0,0.0,59.0,0.0,56.0,0.0,68.0,17.0,51.0,85.0,85.0,23.0,46.0,4.0,65.0,2.0,53.0,1.0,111.0,113.0,118.0,164.0,118.0,34.0,27.0,134.0,223.97,48.0,71.0,22.0,54.0,39.0,42.0,28.0,714.17,31.0,211.0,13.0,258.0,0.0,269.01,10.0,131.0,112.0
PTHR31085,1382.03,1693.95,1264.0,1261.62,1079.01,1230.0,2010.0,2695.97,230.59,733.29,1860.06,1584.0,1446.91,490.0,3208.09,1493.0,1.0,1440.0,0.0,3116.06,0.0,834.0,155.0,885.22,191.0,1496.58,208.0,1071.0,401.01,743.0,92.0,595.0,798.0,1697.0,186.0,1273.97,423.01,1436.0,481.13,3216.29,6.0,2554.0,2.0,2946.38,13.0,1908.07,1841.0,101.0,3826.0,611.03,2350.95,729.08,1925.0,158.0,1770.0,0.0,1845.42,0.0,2624.1,3.0,345.0,451.0,359.0,517.0,316.99,545.0,537.0,325.0,228.0,1240.0,1868.0,967.99,2452.97,281.64,0.0,6916.04,3225.02,77.0,1942.0,28.0,2988.83,6702.47,5683.11,3149.51,3.0,2091.91,0.0,2312.96,0.0,114.0,409.16,61.0,551.0,46.0,304.0,311.0,0.0,424.0,1.0,574.0,0.0,2950.13,2.0,3582.94,1.0,3333.97,5.0,2591.07,28.0,4689.49,41.0,1874.27,1.0,25.0,24.0,5.0,0.0,811.0,0.0,505.89,0.0,476.17,45.0,13.0,16.02,152.0,1.0,1047.0,1.0,3306.76,1.0,3887.93,4.0,3900.87,1.0,282.0,0.0,360.32,0.0,300.12,544.0,549.0,673.0,552.0,1.0,500.0,0.0,506.0,1.0,635.14,42.0,467.01,195.1,876.11,66.0,568.0,9.0,633.0,11.0,634.0,6.0,860.0,1174.0,1335.23,1251.0,1428.61,442.0,341.98,1297.0,2055.18,402.0,164.0,242.02,112.0,513.0,136.0,4287.49,5461.47,5398.75,6731.8,31.0,7301.22,8.0,4834.57,45.0,256.0,322.0
PTHR11647,1551.75,1895.88,1338.0,1461.01,412.34,734.0,643.2,2421.0,63.62,984.0,512.0,2072.02,412.53,798.0,925.0,1707.01,2.0,1632.93,2.0,2303.98,1.0,926.87,139.0,907.0,175.0,877.0,132.0,1446.01,234.0,630.0,46.0,838.9,455.0,1664.98,119.0,1789.87,148.0,1785.07,181.0,1826.06,10.0,1376.98,1.0,1948.94,24.0,864.07,993.0,458.0,1300.0,77.0,808.01,149.0,1009.24,50.0,1154.0,0.0,1934.12,0.0,1289.0,4.0,243.0,1292.0,207.0,1232.0,190.01,1052.0,836.0,167.0,113.0,566.09,713.0,458.0,975.0,101.0,20.99,3441.14,1023.0,140.0,846.0,63.0,1603.83,2003.89,1450.0,1257.95,34.0,705.0,1.0,1223.93,0.0,27.0,498.0,14.0,579.0,7.0,317.0,65.0,0.0,133.53,0.0,99.0,0.0,731.0,0.0,960.7,1.0,881.23,3.0,1597.99,47.0,1188.0,75.0,907.92,4.0,381.0,367.0,403.0,0.0,727.0,0.0,581.0,0.0,515.0,571.0,7.0,259.0,86.0,35.3,537.0,13.0,2294.35,17.0,3313.91,31.37,4238.13,17.0,415.0,0.0,673.0,0.0,465.0,719.0,841.0,810.37,797.0,0.0,637.0,0.0,584.0,0.0,858.0,8.0,702.0,28.0,1390.68,9.0,577.0,20.0,908.0,19.0,909.04,8.0,539.0,615.0,713.0,886.0,687.0,290.0,205.0,861.26,1151.0,256.0,305.43,137.0,217.0,345.0,218.0,2821.75,2744.3,3986.69,3698.64,52.0,2860.19,46.0,2439.88,60.0,520.0,573.0
PTHR11645,237.01,258.0,185.98,184.0,592.97,117.0,1118.36,320.0,141.0,116.0,2108.38,295.0,1549.46,118.0,3592.22,134.0,6.0,156.0,11.0,192.07,8.0,143.0,134.0,160.0,179.0,130.99,487.95,159.0,126.0,96.01,17.0,80.0,314.0,197.0,70.0,277.0,150.0,277.0,148.21,145.0,13.0,116.0,3.0,120.0,13.0,1337.15,1688.0,14.0,2007.0,546.96,935.0,447.0,1525.0,238.0,1817.0,0.0,1498.0,1.0,1677.0,24.97,212.0,438.0,179.0,398.0,191.0,559.0,761.0,202.0,139.0,286.0,1219.0,240.0,1291.58,63.0,0.0,3632.76,1165.0,172.0,1276.0,50.0,3369.24,6808.33,5104.94,3197.23,160.0,2318.41,0.0,2805.83,1.0,76.0,782.0,48.53,993.49,21.0,555.95,253.0,0.0,413.37,0.0,360.01,0.0,2524.28,0.0,3265.87,0.0,3077.81,2.0,4341.72,45.0,5230.3,54.0,3015.01,19.0,1055.0,1707.0,1639.0,0.0,1503.0,0.0,958.05,0.0,723.0,1901.0,3.0,1046.01,52.0,51.0,264.0,27.0,2309.21,51.0,4341.04,101.0,4175.67,29.0,706.0,0.0,1140.0,0.0,959.0,761.47,928.0,945.0,1274.0,0.0,1096.0,0.0,1149.0,0.0,983.02,8.95,633.03,48.0,1394.0,13.0,1218.0,21.0,1873.0,26.0,774.0,8.29,384.0,450.0,490.0,419.94,897.81,124.0,222.0,435.0,1315.87,121.0,329.0,71.0,249.0,146.0,233.0,3497.17,2389.48,5183.69,3397.71,68.0,3752.15,31.0,2567.95,61.0,814.0,860.99
PTHR12560,3002.79,3540.02,2474.22,2516.86,763.87,2256.63,1282.0,5420.81,191.85,1408.98,152.0,3416.58,207.0,1030.0,316.0,2827.97,18.0,2386.92,3.0,4189.0,0.0,1720.0,1089.55,1680.8,1324.03,2977.89,983.3,1925.0,434.0,1504.09,79.0,856.17,843.0,2842.0,6.0,2285.08,26.0,2388.0,22.0,4939.44,24.0,3303.0,1.0,4769.0,50.0,1541.87,2460.0,19.0,2000.86,54.0,1137.0,86.0,1619.0,14.0,1825.0,6.0,1641.94,0.0,2022.96,74.0,249.0,2999.95,217.78,3057.03,228.0,2932.95,740.0,379.0,164.0,1250.02,1502.0,61.0,1245.99,15.0,0.0,96.0,1142.0,348.0,2294.0,107.0,255.31,779.94,507.02,420.01,242.06,214.88,0.0,414.09,1.0,13.0,5676.02,5.0,6244.0,0.0,4635.04,46.03,0.0,63.54,0.0,66.0,0.0,385.78,0.0,385.0,0.0,377.12,1.0,318.0,79.0,442.98,102.0,204.0,24.0,2302.01,2972.44,2899.39,1.0,7185.74,0.0,4164.5,0.0,7187.38,3937.26,17.0,2154.99,127.0,82.0,1015.0,57.0,157.0,121.0,195.0,169.0,203.0,71.0,1431.0,0.0,1734.99,0.0,1507.99,4047.37,4535.83,5175.46,10422.31,1.0,7307.0,3.0,7358.71,0.0,4247.0,4.0,3620.01,6.0,7419.54,2.0,4010.07,31.0,4492.48,29.0,4783.13,19.0,1164.0,1173.0,1471.0,1713.9,85.0,615.97,31.0,1808.77,126.0,703.0,865.01,361.0,627.0,743.01,574.82,338.0,85.0,422.99,309.0,144.0,391.0,92.0,365.0,153.0,1664.03,1488.02
PTHR22780,2204.31,2870.0,2133.93,2430.44,1470.86,2079.12,2532.87,4865.69,449.0,1509.77,1849.0,2705.69,1529.03,895.24,3092.22,2905.91,45.64,2914.04,21.0,4037.01,14.0,1630.53,279.0,1897.0,343.99,2312.99,534.09,2128.0,404.0,1253.0,72.0,1242.98,1121.0,3441.84,170.2,2007.2,597.0,2144.83,479.99,3999.0,12.0,2286.1,5.0,4046.88,14.0,2095.1,2752.02,202.0,3454.0,603.01,2132.0,631.98,3133.03,286.0,2692.0,14.0,3014.0,7.0,2941.52,67.0,560.46,810.72,492.0,898.0,597.0,907.0,1480.94,398.0,214.82,1308.07,2637.86,992.39,2776.16,331.27,1.0,4337.74,2369.0,129.0,2666.52,69.0,2150.0,6485.09,4789.73,1979.97,89.0,2049.01,2.0,2583.0,1.0,147.0,945.02,75.0,1158.0,42.0,710.0,314.03,0.0,494.98,0.0,417.88,0.0,2771.71,10.0,3538.34,6.0,3289.99,10.0,1902.0,61.0,4994.5,87.0,1350.91,10.0,1380.9,1365.72,1034.01,3.0,1658.0,6.0,1113.96,3.0,1304.0,2128.9,10.0,924.0,170.0,103.0,1021.0,45.0,4483.55,89.0,5155.3,131.01,4786.16,62.0,530.0,0.0,760.0,0.0,651.0,1290.0,1484.92,1561.0,1351.0,1.0,1195.0,1.0,1177.95,0.0,1512.78,139.0,974.0,473.0,1673.01,178.79,785.0,24.0,1261.0,29.92,944.0,7.0,1122.61,1254.0,1497.73,1472.0,1492.49,450.81,542.95,1356.0,2264.03,721.0,301.0,351.0,283.0,640.0,252.0,4994.69,3600.94,5111.68,5344.96,69.16,7413.83,67.0,6295.82,52.0,504.0,534.65
PTHR11761,19551.07,20151.59,14367.53,13575.28,9564.99,11834.36,14710.56,23335.76,6470.87,13119.72,13083.97,23462.38,22434.03,10960.12,12086.04,22341.34,599.0,19840.28,344.0,30087.11,391.0,16417.81,9253.45,17622.74,12845.99,19767.34,8898.18,14875.88,6168.06,7542.26,1041.56,8829.38,15979.48,18291.05,209.0,25259.16,454.0,25506.49,562.0,37346.68,306.97,35351.0,271.25,38019.0,484.54,11179.63,22988.3,376.0,23602.85,4118.0,13369.35,2560.0,17477.94,3411.22,26203.34,403.45,22523.24,296.0,19375.54,2168.06,4511.05,31416.39,4440.28,29729.36,4400.91,28453.34,9574.49,9586.01,2050.94,11837.2,15734.65,489.08,19313.03,80.0,49.07,33137.75,11394.23,1571.37,25612.76,383.0,6558.24,3586.49,2331.67,1895.19,8611.97,1361.0,62.01,1926.0,52.03,960.04,31803.56,1835.02,49519.63,791.04,24764.48,268.0,6.03,497.05,10.57,457.99,9.41,2199.0,176.0,3547.51,294.0,3170.07,272.0,3500.05,524.0,3724.91,676.0,2307.0,162.0,40073.63,68129.89,47806.84,151.0,35849.6,134.71,25587.14,171.89,33293.01,54943.9,2634.7,63783.33,6431.94,2781.74,12818.54,671.96,9788.31,1776.01,12263.14,2660.0,11187.01,3435.0,7640.54,53.0,9545.3,0.0,8880.4,25808.84,33661.73,27596.98,63485.2,1605.24,42181.97,1078.0,47095.22,1501.11,35069.92,35.0,30132.86,223.2,57428.47,98.0,27788.81,1353.83,36238.25,1791.44,31560.85,1342.59,14399.02,17286.85,23063.78,28388.16,938.04,8511.42,240.0,26426.77,1295.25,7439.76,3505.0,5301.84,2513.94,6735.94,2167.0,14236.25,13662.15,17847.9,11033.2,769.98,18848.3,316.0,3996.19,619.86,6578.57,8191.42
PTHR11766,838.14,779.87,594.0,273.0,51.37,264.39,127.7,622.0,31.0,286.0,1137.0,779.0,769.0,268.0,2121.99,405.0,5.0,354.0,1.0,203.0,0.0,676.0,89.23,698.0,107.91,374.0,94.12,341.0,117.0,242.0,15.0,181.0,350.0,305.0,5.0,1068.0,43.0,1133.01,39.0,209.0,3.0,221.0,0.0,209.0,5.0,71.0,68.0,27.0,313.98,159.0,74.0,227.0,203.0,39.0,219.0,1.0,217.0,0.0,254.0,12.0,30.0,370.0,22.0,439.06,29.0,371.91,477.0,143.0,22.0,443.0,110.0,30.0,115.0,12.0,0.0,1045.96,163.0,36.0,101.0,12.0,1441.97,3332.04,2302.98,1594.99,12.0,1181.0,0.0,1796.0,0.0,39.0,439.99,17.0,643.01,10.0,357.55,121.0,0.0,201.0,1.0,145.0,1.0,931.0,0.0,1296.6,1.0,1235.0,1.0,2090.39,15.0,2054.09,14.0,1124.0,1.0,129.0,154.0,85.0,3.0,631.96,2.0,559.6,3.0,574.06,245.0,7.0,119.0,78.0,14.0,490.97,2.0,450.0,5.0,407.02,9.0,351.0,8.0,122.0,0.0,221.0,0.0,128.0,509.86,642.0,583.0,902.94,2.0,647.39,1.0,717.16,1.0,481.1,9.0,336.0,34.0,657.0,16.0,676.92,8.0,784.98,7.0,511.07,4.0,388.0,423.0,545.0,1029.08,107.0,326.0,25.0,1128.0,180.0,325.44,85.0,148.0,86.0,301.0,80.0,1010.01,311.02,1287.6,603.52,16.0,1201.34,17.0,462.47,21.0,366.0,332.0
PTHR11767,1759.0,2182.4,1873.0,1503.0,992.71,1330.23,2231.94,2954.58,271.0,925.0,1150.95,1650.44,884.87,553.0,2021.36,2242.06,5.0,1953.0,0.0,2011.01,0.0,1917.0,22.0,1941.33,22.0,1237.96,58.0,1419.89,246.0,788.46,53.0,758.0,722.0,2016.08,104.0,1693.09,362.0,2048.18,287.99,2324.03,6.0,1528.3,3.0,2270.02,15.0,1227.0,2006.27,40.0,1900.0,216.94,1157.0,279.0,1835.12,91.0,2097.57,2.0,2526.93,0.0,1381.77,9.0,348.0,143.0,240.0,137.0,335.87,124.0,554.0,288.0,129.0,658.0,1990.0,527.95,2270.3,274.97,0.0,2033.2,1805.99,132.0,2203.0,44.0,1552.16,3437.54,2355.3,1416.13,13.0,1165.97,0.0,1627.14,0.0,32.0,45.0,26.0,48.0,11.0,36.0,124.0,0.0,268.86,0.0,188.0,0.0,1389.92,0.0,1748.55,0.0,1690.0,4.0,2007.0,30.0,2434.97,43.0,1237.07,7.0,241.0,195.0,175.0,0.0,120.0,0.0,90.0,0.0,53.0,398.0,5.0,132.0,108.0,13.0,732.0,5.0,2031.16,4.0,2202.32,21.0,2497.21,7.0,521.0,0.0,525.89,0.0,513.0,153.0,167.94,154.0,91.0,0.98,74.0,0.0,82.0,0.0,128.0,95.0,110.0,325.78,230.0,137.0,95.0,12.0,167.0,10.0,142.0,4.0,853.0,791.0,865.0,1225.96,791.0,417.0,359.33,1134.0,1457.49,555.93,197.0,288.0,182.0,557.0,137.0,4908.27,2723.0,4847.31,2723.98,43.0,3910.17,18.0,2380.9,29.0,354.0,362.0
