Label,DC10_R1T6_1,DC10_R2T6_1,DC10_R3T6_1,DC12_R1T6_1,DC12_R1T6_2,DC12_R2T6_1,DC12_R2T6_2,DC12_R3T6_1,DC12_R3T6_2,DC13_R1T6_1,DC13_R1T6_3,DC13_R2T6_1,DC13_R2T6_3,DC13_R3T6_1,DC13_R3T6_3,DC14_R1T6_1,DC14_R1T6_4,DC14_R2T6_1,DC14_R2T6_4,DC14_R3T6_1,DC14_R3T6_4,DC15_R1T6_1,DC15_R1T6_5,DC15_R2T6_1,DC15_R2T6_5,DC15_R3T6_1,DC15_R3T6_5,DC16_R1T6_1,DC16_R1T6_6,DC16_R2T6_1,DC16_R2T6_6,DC16_R3T6_1,DC16_R3T6_6,DC17_R1T6_1,DC17_R1T6_7,DC17_R2T6_1,DC17_R2T6_7,DC17_R3T6_1,DC17_R3T6_7,DC18_R1T6_1,DC18_R1T6_8,DC18_R2T6_1,DC18_R2T6_8,DC18_R3T6_1,DC18_R3T6_8,DC20_R1T6_2,DC20_R2T6_2,DC20_R3T6_2,DC23_R1T6_2,DC23_R1T6_3,DC23_R2T6_2,DC23_R2T6_3,DC23_R3T6_2,DC23_R3T6_3,DC24_R1T6_2,DC24_R1T6_4,DC24_R2T6_2,DC24_R2T6_4,DC24_R3T6_2,DC24_R3T6_4,DC25_R1T6_2,DC25_R1T6_5,DC25_R2T6_2,DC25_R2T6_5,DC25_R3T6_2,DC25_R3T6_5,DC26_R1T6_2,DC26_R1T6_6,DC26_R2T6_2,DC26_R2T6_6,DC27_R1T6_2,DC27_R1T6_7,DC27_R2T6_2,DC27_R2T6_7,DC27_R3T6_2,DC27_R3T6_7,DC28_R1T6_2,DC28_R1T6_8,DC28_R2T6_2,DC28_R2T6_8,DC30_R1T6_3,DC30_R2T6_3,DC30_R3T6_3,DC34_R1T6_3,DC34_R1T6_4,DC34_R2T6_3,DC34_R2T6_4,DC34_R3T6_3,DC34_R3T6_4,DC35_R1T6_3,DC35_R1T6_5,DC35_R2T6_3,DC35_R2T6_5,DC35_R3T6_3,DC35_R3T6_5,DC36_R1T6_3,DC36_R1T6_6,DC36_R2T6_3,DC36_R2T6_6,DC36_R3T6_3,DC36_R3T6_6,DC37_R1T6_3,DC37_R1T6_7,DC37_R2T6_3,DC37_R2T6_7,DC37_R3T6_3,DC37_R3T6_7,DC38_R1T6_3,DC38_R1T6_8,DC38_R2T6_3,DC38_R2T6_8,DC38_R3T6_3,DC38_R3T6_8,DC40_R1T6_4,DC40_R2T6_4,DC40_R3T6_4,DC45_R1T6_4,DC45_R1T6_5,DC45_R2T6_4,DC45_R2T6_5,DC45_R3T6_4,DC45_R3T6_5,DC46_R1T6_4,DC46_R1T6_6,DC46_R2T6_4,DC46_R2T6_6,DC46_R3T6_4,DC46_R3T6_6,DC47_R1T6_4,DC47_R1T6_7,DC47_R2T6_4,DC47_R2T6_7,DC47_R3T6_4,DC47_R3T6_7,DC48_R1T6_4,DC48_R1T6_8,DC48_R2T6_4,DC48_R2T6_8,DC48_R3T6_4,DC48_R3T6_8,DC50_R1TWB_5,DC50_R2TWB_5,DC50_R3TWB_5,DC56_R1T6_5,DC56_R1T6_6,DC56_R2T6_5,DC56_R2T6_6,DC56_R3T6_5,DC56_R3T6_6,DC57_R1TWB_5,DC57_R1TWB_7,DC57_R2TWB_5,DC57_R2TWB_7,DC57_R3TWB_5,DC57_R3TWB_7,DC58_R1T6_5,DC58_R1T6_8,DC58_R2T6_5,DC58_R2T6_8,DC58_R3T6_5,DC58_R3T6_8,DC60_R1T6_6,DC60_R2T6_6,DC60_R3T6_6,DC67_R1T6_6,DC67_R1T6_7,DC67_R2T6_6,DC67_R2T6_7,DC67_R3T6_6,DC67_R3T6_7,DC68_R1T6_6,DC68_R1T6_8,DC68_R2T6_6,DC68_R2T6_8,DC68_R3T6_6,DC68_R3T6_8,DC70_R1TWB_7,DC70_R2T6_7,DC70_R3TWB_7,DC78_R1T6_7,DC78_R1T6_8,DC78_R2T6_7,DC78_R2T6_8,DC78_R3T6_7,DC78_R3T6_8,DN82_R3TX_8,DN86_R1TX_8
PTHR11649,264.31,228.08,233.76,182.95,74.97,207.15,75.47,227.16,48.35,155.55,170.36,205.58,144.68,185.31,192.39,228.75,30.76,210.87,12.02,114.34,0.0,222.52,142.42,245.95,153.45,149.66,153.39,163.4,201.78,191.6,121.35,180.82,197.26,211.17,80.91,211.51,153.62,238.7,158.49,172.92,6.59,175.07,4.86,140.99,16.0,82.75,67.03,5.87,85.5,146.14,86.76,137.33,104.37,128.35,94.8,1.0,82.89,2.02,98.53,35.81,44.66,166.23,34.61,151.75,52.69,179.79,110.53,273.21,74.42,297.07,56.55,179.66,76.2,68.61,20.05,259.14,87.96,75.43,67.91,79.76,248.14,279.58,261.61,328.54,66.41,291.56,3.33,180.51,3.06,41.89,225.64,18.73,229.92,17.09,235.66,175.61,8.09,160.7,0.0,148.45,0.0,278.98,2.61,274.28,4.46,312.84,6.64,250.88,62.85,305.31,78.9,214.37,3.0,116.73,120.85,86.64,0.0,199.37,0.71,233.44,0.0,197.81,127.04,130.84,105.19,222.62,86.3,287.46,65.47,253.79,55.87,216.11,101.48,243.01,46.74,88.73,0.76,118.2,0.0,109.66,173.6,187.49,174.97,214.09,0.67,214.1,0.91,235.88,0.0,222.97,99.51,176.42,187.44,178.63,88.51,183.74,30.56,240.5,19.37,160.5,11.22,268.41,251.27,276.0,300.3,193.53,297.62,205.84,317.35,203.27,232.37,94.41,230.32,71.81,185.71,83.31,320.56,261.62,319.46,293.48,92.5,364.73,90.74,280.33,92.26,151.34,131.04
PTHR31089,8.02,8.61,7.83,9.2,8.2,9.43,6.8,7.57,3.71,9.5,50.08,10.85,40.28,10.76,51.57,7.46,1.96,7.25,0.52,5.4,0.0,6.53,3.93,7.53,3.83,7.59,5.6,8.79,10.03,7.94,3.77,12.33,9.4,6.44,18.55,8.66,14.9,9.16,16.83,5.05,0.73,5.32,0.0,6.69,0.63,9.65,6.69,1.16,8.48,30.82,7.11,32.44,5.4,13.54,7.79,0.16,5.95,0.0,7.59,3.4,4.54,1.8,7.08,1.31,6.9,2.74,4.74,8.4,3.86,12.06,7.09,22.38,8.32,11.41,0.0,10.83,8.64,4.47,6.02,3.97,44.31,83.27,77.1,38.36,10.18,57.58,0.65,31.2,0.59,6.79,4.05,3.98,4.03,6.38,4.13,34.26,0.0,23.26,0.0,33.43,0.0,28.56,0.0,34.54,0.0,43.33,0.0,21.25,4.86,37.36,4.17,19.8,0.23,17.47,14.0,13.94,0.0,4.52,0.0,4.09,0.0,5.16,9.25,0.0,7.96,8.34,4.77,11.77,8.19,28.33,8.72,23.33,10.8,26.86,5.01,9.59,0.0,9.15,0.0,9.32,5.4,5.39,5.0,3.35,0.0,3.94,0.0,3.84,0.0,5.24,8.09,5.2,25.58,4.25,6.37,3.77,2.99,4.36,1.34,4.26,1.3,16.96,15.78,15.0,20.98,15.15,14.45,11.33,17.65,18.6,16.11,6.92,12.16,4.8,11.87,5.57,0.94,23.0,0.79,6.9,5.78,7.9,0.0,10.34,4.51,8.51,6.17
PTHR31085,28.46,32.79,32.27,36.67,45.59,42.29,46.07,41.08,27.76,32.29,83.63,33.95,65.9,29.52,100.12,33.34,3.89,35.11,0.0,52.33,0.0,20.68,27.4,21.45,28.23,39.69,24.7,32.24,84.94,37.0,89.83,34.71,70.94,38.77,124.3,23.33,130.58,26.79,147.8,52.02,2.52,53.69,1.19,47.68,5.11,51.36,31.53,2.38,57.81,122.47,64.69,122.79,43.26,79.39,34.6,0.0,29.74,0.0,50.63,3.89,25.48,34.71,27.22,37.76,25.46,40.35,24.01,72.11,40.33,114.7,36.54,196.73,44.64,89.05,0.0,274.04,73.57,19.2,35.98,29.04,126.79,129.83,151.85,104.38,3.98,107.73,0.0,73.23,0.0,43.85,28.32,17.5,28.21,26.58,26.33,90.96,0.0,67.34,4.1,115.39,0.0,132.45,4.41,118.21,1.81,113.82,7.54,84.4,18.13,121.56,28.94,77.43,0.31,5.86,4.09,0.71,0.0,34.38,0.0,37.91,0.0,24.74,6.37,40.0,3.58,83.22,2.16,99.06,4.17,205.06,2.29,160.94,7.69,163.37,1.71,19.78,0.0,22.9,0.0,19.47,31.09,28.58,31.7,21.34,0.57,27.24,0.0,26.32,0.96,34.2,37.24,31.17,111.46,30.38,32.6,26.19,9.85,28.16,8.57,31.15,10.56,70.21,86.09,88.63,84.02,278.4,98.2,226.95,89.55,273.4,71.47,22.77,70.67,12.93,83.42,24.4,209.79,265.96,198.76,346.68,21.69,391.16,10.5,297.1,28.86,23.56,23.83
PTHR11647,29.77,34.45,31.45,38.92,25.08,22.96,21.2,34.02,10.81,40.39,38.4,41.55,30.35,45.31,46.53,35.16,1.42,36.81,1.87,35.35,0.34,21.48,12.61,20.25,15.22,21.63,14.17,39.9,26.58,28.78,24.43,43.95,21.23,35.1,53.74,31.33,39.14,31.18,54.05,27.36,1.42,26.19,0.16,29.27,3.73,33.56,23.4,29.58,29.11,22.2,33.18,40.47,32.12,36.46,31.04,0.0,41.49,0.0,34.78,0.98,25.49,53.96,22.6,53.72,21.57,58.69,49.4,19.89,28.42,29.15,18.8,73.21,24.87,25.23,13.46,118.74,32.83,13.97,21.8,44.08,96.15,61.81,60.31,62.94,8.16,56.43,1.1,54.88,0.0,18.05,19.91,8.47,14.12,4.89,14.77,25.51,0.0,35.27,0.0,28.64,0.0,56.53,0.0,53.84,1.39,49.69,3.45,77.73,9.44,47.54,23.6,55.43,1.02,14.51,10.73,10.25,0.0,20.89,0.0,23.37,0.0,16.75,14.45,11.78,10.3,25.46,13.42,27.83,9.8,107.36,6.84,113.65,10.8,136.76,5.32,13.19,0.0,20.72,0.0,13.86,20.58,22.47,21.95,19.2,0.0,16.91,0.0,20.39,0.0,24.24,4.31,24.96,10.31,24.82,3.15,28.67,15.48,31.73,9.97,42.23,6.14,23.33,24.11,25.33,32.23,114.85,34.5,110.69,32.06,122.57,23.93,18.74,21.43,14.17,29.86,19.2,122.63,117.36,136.11,156.05,17.93,111.5,37.54,120.84,17.97,25.22,22.3
PTHR11645,14.98,15.44,14.51,16.39,41.88,11.96,44.9,14.62,34.32,15.36,158.28,19.75,117.78,22.36,188.42,9.18,2.63,11.63,6.38,9.75,1.58,10.47,23.46,11.63,22.28,10.62,57.63,14.49,44.1,14.42,27.92,13.75,45.15,13.47,31.36,16.11,35.27,15.64,37.26,7.04,3.96,7.31,1.07,5.82,3.13,58.49,50.23,0.41,52.89,176.05,41.68,137.91,61.71,193.26,57.56,0.0,41.72,0.16,56.54,3.44,24.91,29.27,20.79,24.2,25.41,30.76,55.36,73.04,43.35,45.54,38.47,35.32,37.05,13.93,0.0,110.63,45.87,26.56,37.39,34.75,222.01,218.86,210.28,143.73,22.43,195.95,0.0,140.99,0.66,61.06,39.47,27.24,39.32,21.35,34.64,113.78,0.0,108.17,0.0,110.63,0.0,192.75,0.0,187.43,0.0,183.35,2.39,213.14,18.6,226.96,23.11,193.2,3.38,24.04,30.06,25.25,0.0,53.76,0.0,48.01,0.0,31.12,28.26,15.49,24.63,47.31,11.59,42.31,11.86,100.07,12.24,135.56,20.39,127.21,5.24,29.36,0.0,47.8,0.0,38.19,41.51,41.01,39.73,39.67,0.0,40.54,0.0,46.49,0.0,42.62,5.04,36.97,17.1,43.29,4.26,58.64,12.48,71.45,13.55,35.77,8.44,51.2,54.75,54.23,46.91,136.39,45.87,110.31,49.97,129.37,35.32,27.25,34.24,18.72,38.79,25.43,139.66,91.12,155.67,131.57,25.32,135.97,26.59,116.74,24.01,45.91,39.38
PTHR12560,110.1,120.98,110.02,130.33,53.25,139.86,47.98,147.53,37.63,108.49,8.35,131.49,14.02,110.22,11.77,107.25,12.88,98.8,2.6,108.96,0.0,74.97,79.09,72.27,84.25,142.86,68.82,97.65,77.8,132.79,58.57,81.98,54.46,110.8,4.21,74.68,9.57,78.75,8.65,122.37,5.18,103.35,0.2,119.0,9.36,71.26,71.09,0.68,51.34,11.73,53.87,17.3,60.33,7.4,60.24,2.15,45.06,0.0,64.49,18.61,31.05,71.64,27.57,72.05,30.37,81.76,57.28,66.76,47.75,91.56,49.01,14.72,39.81,5.18,0.0,4.65,45.24,36.38,68.83,57.02,11.84,17.75,15.59,20.24,73.31,14.56,0.0,21.48,0.98,5.73,119.33,1.62,102.09,0.0,129.04,16.33,0.0,14.17,0.0,15.29,0.0,20.77,0.0,15.64,0.0,15.6,1.87,11.8,24.51,13.03,31.97,9.45,3.2,115.83,109.35,94.21,0.2,124.2,0.0,102.47,0.0,122.66,123.1,48.51,104.92,53.96,39.42,77.93,51.92,10.75,56.44,9.6,72.16,9.89,28.41,40.39,0.0,50.71,0.0,41.42,104.71,102.11,117.98,118.38,0.43,111.59,2.45,118.67,0.0,105.74,3.61,117.25,3.34,118.05,1.03,94.1,15.8,93.34,14.53,104.09,14.06,76.02,67.12,76.65,89.99,20.18,103.07,24.13,97.62,19.88,108.52,49.33,85.76,33.26,98.3,45.83,21.48,5.08,20.57,19.35,38.75,22.51,54.95,26.23,39.26,65.67,53.48
PTHR22780,35.51,43.23,42.31,55.55,55.89,56.01,56.26,58.26,51.2,51.75,60.04,45.14,53.47,41.86,70.0,50.84,25.68,55.6,13.36,53.22,3.22,31.4,29.55,35.71,30.22,47.85,41.96,50.04,46.04,48.84,43.1,56.58,49.37,61.43,40.92,28.71,76.61,31.08,64.54,50.69,4.24,37.41,2.37,51.11,4.45,51.94,44.31,4.07,46.68,81.83,51.14,78.08,67.88,86.6,47.47,2.67,46.96,1.26,54.72,12.76,38.33,32.42,31.0,33.37,41.21,38.28,65.14,44.51,35.66,65.98,47.24,76.77,43.69,39.29,0.61,73.12,47.31,26.42,43.1,52.86,59.24,90.29,90.1,55.71,16.67,81.56,2.63,88.55,0.47,40.45,34.89,16.3,32.85,17.77,34.68,66.0,0.0,60.46,0.0,63.64,0.0,90.91,9.93,83.86,5.28,82.75,6.91,41.15,29.24,87.6,53.02,35.98,2.93,41.52,29.12,18.98,0.46,41.52,1.43,39.76,0.56,39.33,40.89,21.84,27.55,47.55,27.73,47.97,29.26,106.46,27.41,86.06,31.02,77.38,13.73,26.51,0.0,39.33,0.0,32.61,43.76,45.53,46.6,28.26,0.25,33.96,0.34,32.48,0.0,46.69,42.89,42.02,92.66,35.72,32.18,26.59,19.99,35.89,19.97,32.55,8.57,47.45,50.25,51.11,55.94,122.13,54.84,146.7,53.9,120.69,64.74,30.15,55.15,27.19,53.82,34.56,107.84,73.8,82.77,112.04,31.37,149.69,63.92,154.0,23.1,33.98,30.76
PTHR11761,1825.69,1809.02,1713.87,1848.27,1881.0,1899.5,1575.97,1642.48,3683.16,2672.27,2567.86,2315.25,4324.58,3038.07,1647.5,2320.21,1690.12,2244.74,1284.09,2388.63,498.84,1862.59,2916.02,1952.05,3503.85,2320.52,2267.85,2065.64,1995.8,1727.88,1582.41,2376.89,2125.63,1959.04,284.65,2137.48,319.03,2175.99,423.05,2871.09,302.49,3476.05,293.74,2887.87,408.13,1392.1,1828.06,41.34,1671.1,3248.79,1689.79,1842.84,1822.64,6285.87,2369.55,451.76,1665.49,315.04,1713.33,2043.02,1557.39,3614.47,1552.89,3293.4,1658.38,3704.7,1934.63,3234.75,1686.11,1738.06,1435.23,208.66,1626.01,49.79,56.18,3067.85,1207.35,778.73,2197.52,787.58,1315.75,356.32,306.35,286.44,8294.21,350.61,290.59,297.22,219.65,1534.07,3572.57,2118.19,4106.16,1814.21,3623.99,387.41,70.35,402.22,64.56,445.94,70.02,511.59,926.59,616.39,1375.26,565.91,1027.0,551.1,686.23,495.82,909.04,464.38,100.1,6613.56,8348.53,4952.15,128.86,2808.08,179.37,2892.11,180.26,3149.2,5623.92,12821.54,10328.84,5464.41,4358.11,1897.03,2025.63,1273.99,2931.18,1154.24,3681.33,1026.07,4256.09,1005.92,103.48,1254.27,0.0,1125.15,2727.53,3164.09,2575.55,4105.2,1613.47,3591.88,1466.75,4122.93,1930.77,3443.42,59.37,3936.53,243.04,3663.03,94.49,2905.47,2770.22,3101.46,3297.55,3244.5,4766.12,1788.45,1949.65,2381.26,2924.69,414.83,2906.88,338.43,2801.46,368.49,2003.31,906.54,2368.34,580.67,1652.65,738.04,1724.0,1579.1,1624.02,1278.62,891.63,2064.91,774.23,525.36,723.47,1100.79,1178.66
PTHR11766,53.5,47.14,47.35,24.5,3.36,28.23,4.54,29.38,5.82,39.24,60.98,51.89,40.9,50.26,77.75,27.99,4.25,26.54,1.12,10.61,0.0,51.75,17.59,52.54,17.71,30.49,14.75,31.88,12.41,37.54,6.89,32.84,15.56,21.54,3.04,61.48,14.2,65.71,12.67,10.6,0.9,14.42,0.0,10.36,1.29,2.98,1.8,1.74,7.38,34.28,3.17,45.29,7.04,20.0,6.58,0.34,5.33,0.0,7.51,3.42,3.44,24.25,2.58,28.44,3.6,28.87,32.37,18.06,6.01,21.95,3.32,6.18,3.24,2.97,0.0,40.96,5.77,5.48,2.88,7.8,64.19,73.68,67.49,54.57,3.48,67.59,0.0,61.54,0.0,17.32,30.33,5.55,33.66,6.44,33.54,39.0,0.0,35.96,2.67,31.54,3.27,48.94,0.0,50.59,1.55,50.11,1.25,71.72,5.96,59.76,5.96,50.32,0.19,6.13,5.62,2.69,0.77,30.03,0.8,39.0,0.94,32.48,7.53,12.76,5.79,24.39,6.58,24.28,1.82,26.01,2.48,16.19,3.76,13.95,2.99,5.01,0.0,8.99,0.0,5.01,33.49,35.86,33.04,37.08,0.88,33.62,0.59,36.88,0.56,29.62,6.18,25.45,17.11,25.12,6.34,41.62,4.9,40.67,3.82,31.04,4.25,16.9,16.12,18.61,35.49,21.06,37.44,14.87,40.0,23.57,28.9,6.77,23.4,6.25,28.71,8.69,52.48,16.39,48.23,29.97,5.83,56.87,13.4,27.26,7.77,19.47,14.98
PTHR11767,50.75,60.12,69.3,58.93,79.95,65.14,106.55,63.29,66.15,62.19,49.78,53.43,40.05,56.03,60.47,73.13,9.36,67.79,0.0,45.99,0.0,74.32,2.69,72.06,2.49,40.18,5.66,60.52,26.96,54.29,26.96,59.88,32.4,62.36,39.95,45.03,72.0,56.77,64.99,54.16,1.19,46.25,0.55,51.11,2.39,57.64,61.44,1.4,51.29,42.87,58.28,49.99,79.22,50.62,77.26,1.48,74.66,0.0,44.25,3.63,47.29,6.04,28.72,5.5,50.49,6.06,44.33,33.09,41.96,32.64,73.24,68.9,76.33,48.42,0.0,63.96,77.6,12.42,76.95,17.35,79.69,62.98,56.49,48.01,7.06,63.49,0.0,57.26,0.0,12.39,2.35,8.8,1.64,8.18,1.92,35.36,0.0,46.92,0.0,36.03,0.0,60.32,0.0,60.15,0.0,58.6,4.57,61.54,7.39,62.19,10.92,51.03,0.77,15.16,9.31,8.85,0.0,3.73,0.0,4.12,0.0,1.95,14.99,8.38,9.06,30.41,10.16,36.41,4.85,80.28,1.56,69.34,12.23,73.32,3.63,13.73,0.0,12.79,0.0,12.38,7.63,7.35,6.71,2.26,0.33,2.75,0.0,2.93,0.0,5.74,44.55,5.99,98.95,6.86,34.6,4.31,4.62,6.4,3.51,6.16,2.83,35.73,29.68,29.53,42.67,108.1,47.74,146.32,40.49,120.4,49.85,10.22,43.54,8.15,46.31,9.65,166.05,90.57,133.31,95.82,10.0,126.33,9.6,102.1,7.11,11.42,9.8
