ProteinName	GeneID	ChlamydomonasID	logFC	logCPM	PValue	FDR	TMM:DC70.R1TWB	TMM:DC70.R2T6	TMM:DC70.R3TWB	TMM:DC67.R1T6_7	TMM:DC67.R2T6_7	TMM:DC67.R3T6_7
Carbonic.anhydrase	NULL	Cre04.g223100	-	-	-	-	-	-	-	-	-	-
Carbonic.anhydrase	comp390023_c0	Cre09.g405750	-3.99	-3.56	0.34	0.84	0.00	0.00	1.32	0.00	0.00	0.00
Carbonic.anhydrase	NULL	Cre13.g607350	-	-	-	-	-	-	-	-	-	-
Carbonic.anhydrase.3	comp47884_c0	Cre09.g415700	-0.14	3.9	0.79	1.0	9.85	4.24	7.16	6.07	6.13	6.88
Carbonic.anhydrase.6	NULL	Cre12.g485050	-	-	-	-	-	-	-	-	-	-
Carbonic.anhydrase.alpha.type.periplasmic	NULL	Cre04.g223050	-	-	-	-	-	-	-	-	-	-
Formate.nitrite.transporter	NULL	Cre01.g012050	-	-	-	-	-	-	-	-	-	-
Formate.nitrite.transporter	NULL	Cre07.g335600	-	-	-	-	-	-	-	-	-	-
Formate.nitrite.transporter	NULL	g4546.t1	-	-	-	-	-	-	-	-	-	-
Gamma.carbonic.anhydrase	NULL	Cre06.g293850	-	-	-	-	-	-	-	-	-	-
Gamma.carbonic.anhydrase	comp42411_c0	Cre09.g415850	-0.59	6.26	0.22	0.74	86.41	59.17	110.67	63.63	44.62	57.62
Gamma.carbonic.anhydrase	NULL	Cre12.g516450	-	-	-	-	-	-	-	-	-	-
Glutamate-1-semialdehyde.aminotransferase	comp52231_c0	Cre03.g158000	-0.55	7.01	0.35	0.84	8.76	229.50	9.16	41.17	50.28	56.06
Glutamyl-tRNA.reductase	comp32386_c0	Cre07.g342150	-2.06	7.47	0.0	0.02	57.50	297.21	74.82	37.30	32.90	28.80
High.affinity.nitrate.transporter	NULL	Cre09.g410800	-	-	-	-	-	-	-	-	-	-
Iron.permease.membrane.protein	NULL	Cre03.g192050	-	-	-	-	-	-	-	-	-	-
Light-harvesting.protein.of.photosystem.I	NULL	Cre12.g508750	-	-	-	-	-	-	-	-	-	-
Light-harvesting.protein.of.photosystem.II	NULL	Cre12.g548400	-	-	-	-	-	-	-	-	-	-
Low-affinity.phosphate.transporter	NULL	Cre06.g251650	-	-	-	-	-	-	-	-	-	-
Mitochondrial.carbonic.anhydrase	NULL	Cre05.g248450	-	-	-	-	-	-	-	-	-	-
Mitochondrial.carbonic.anhydrase.beta.type	NULL	Cre05.g248400	-	-	-	-	-	-	-	-	-	-
Nitrate.reductase	comp51273_c0	Cre09.g410950	0.86	4.19	0.47	0.94	0.52	29.40	0.31	15.88	15.78	16.30
Nitrate.transporter	comp53134_c0	Cre09.g396000	0.76	4.24	0.16	0.67	4.21	7.39	5.61	13.30	8.02	7.65
Nitrite.reductase	comp46132_c0	Cre09.g410750	-2.37	0.41	0.02	0.28	0.58	4.46	0.38	0.68	0.00	0.14
Nitrite.transporter	NULL	Cre12.g541250	-	-	-	-	-	-	-	-	-	-
Nitrogen.regulatory.protein.PII	comp45672_c0	Cre07.g357350	0.75	5.34	0.18	0.69	17.20	18.31	33.58	44.50	27.76	39.97
Phosphate-repressible.alkaline.phosphatase	comp50547_c0	Cre04.g216700	-4.1	3.35	0.0	0.05	0.00	41.26	0.08	1.47	0.00	0.35
Phosphate.acetyltransferase	NULL	Cre09.g396650	-	-	-	-	-	-	-	-	-	-
Phosphate.acetyltransferase	comp54517_c0	Cre17.g699000	-1.13	7.5	0.03	0.3	24.57	150.23	46.33	32.71	23.64	33.00
Single.helix.LHC.light.protein	comp43445_c0	Cre02.g109950	-0.25	4.78	0.7	1.0	33.53	44.13	35.63	38.20	33.90	26.76
Transcription.factor.regulating.nitrogen.metabolism	comp42254_c0	Cre03.g177700	0.18	0.75	0.82	1.0	1.93	1.87	1.53	2.88	1.78	1.46
