ProteinName	GeneID	ChlamydomonasID	logFC	logCPM	PValue	FDR	TMM:DC80.R1T6	TMM:DC80.R2T6	TMM:DC80.R3T6	TMM:DC78.R1T6_8	TMM:DC78.R2T6_8	TMM:DC78.R3T6_8
Carbonic.anhydrase	NULL	Cre04.g223100	-	-	-	-	-	-	-	-	-	-
Carbonic.anhydrase	comp19559_c1	Cre09.g405750	-3.91	1.68	0.0	0.02	12.23	0.00	4.10	0.40	0.40	0.00
Carbonic.anhydrase	NULL	Cre13.g607350	-	-	-	-	-	-	-	-	-	-
Carbonic.anhydrase.3	comp16640_c0	Cre09.g415700	0.35	-0.04	0.56	0.89	0.77	1.98	1.77	2.51	3.35	1.19
Carbonic.anhydrase.6	NULL	Cre12.g485050	-	-	-	-	-	-	-	-	-	-
Carbonic.anhydrase.alpha.type.periplasmic	NULL	Cre04.g223050	-	-	-	-	-	-	-	-	-	-
Formate.nitrite.transporter	NULL	Cre01.g012050	-	-	-	-	-	-	-	-	-	-
Formate.nitrite.transporter	NULL	Cre07.g335600	-	-	-	-	-	-	-	-	-	-
Formate.nitrite.transporter	NULL	g4546.t1	-	-	-	-	-	-	-	-	-	-
Gamma.carbonic.anhydrase	comp33033_c0	Cre06.g293850	1.53	4.63	0.15	0.44	2.03	16.74	14.54	43.33	42.28	29.53
Gamma.carbonic.anhydrase	comp25396_c13	Cre09.g415850	0.83	2.89	0.41	0.8	1.69	4.89	7.52	7.87	9.45	8.56
Gamma.carbonic.anhydrase	comp29296_c0	Cre12.g516450	1.32	6.16	0.23	0.57	4.21	39.59	40.58	83.02	99.38	67.64
Glutamate-1-semialdehyde.aminotransferase	comp14459_c0	Cre03.g158000	-1.42	4.99	0.18	0.5	21.94	15.58	45.46	9.02	9.16	8.53
Glutamyl-tRNA.reductase	comp28250_c0	Cre07.g342150	-0.61	7.06	0.62	0.93	37.05	49.65	66.68	40.22	34.04	26.19
High.affinity.nitrate.transporter	comp25030_c0	Cre09.g410800	2.89	6.21	0.07	0.26	10.70	7.43	2.07	126.65	10.27	0.29
Iron.permease.membrane.protein	comp16542_c2	Cre03.g192050	-0.06	2.74	0.64	0.94	21.27	1.90	4.17	5.09	5.61	8.18
Light-harvesting.protein.of.photosystem.I	comp23952_c3	Cre12.g508750	0.94	9.42	0.49	0.87	100.21	435.61	637.22	1303.48	508.41	413.86
Light-harvesting.protein.of.photosystem.II	comp25614_c0	Cre12.g548400	0.57	12.95	0.6	0.91	1004.67	6607.83	6182.86	12316.41	5347.32	4765.23
Low-affinity.phosphate.transporter	comp15785_c0	Cre06.g251650	0.1	2.72	0.9	1.0	2.40	1.97	3.42	2.46	4.37	1.81
Mitochondrial.carbonic.anhydrase	NULL	Cre05.g248450	-	-	-	-	-	-	-	-	-	-
Mitochondrial.carbonic.anhydrase.beta.type	NULL	Cre05.g248400	-	-	-	-	-	-	-	-	-	-
Nitrate.reductase	comp63712_c0	Cre09.g410950	2.11	3.27	0.19	0.52	6.61	1.47	1.47	26.68	3.03	0.72
Nitrate.transporter	NULL	Cre09.g396000	-	-	-	-	-	-	-	-	-	-
Nitrite.reductase	comp182185_c0	Cre09.g410750	1.79	-0.96	0.44	0.83	2.25	0.30	0.00	6.11	0.00	0.00
Nitrite.transporter	NULL	Cre12.g541250	-	-	-	-	-	-	-	-	-	-
Nitrogen.regulatory.protein.PII	comp25697_c6	Cre07.g357350	0.99	4.34	0.35	0.73	2.34	16.41	15.96	32.34	21.72	22.22
Phosphate-repressible.alkaline.phosphatase	comp25598_c5	Cre04.g216700	0.58	1.96	0.34	0.72	0.33	2.80	1.61	2.12	4.24	3.13
Phosphate.acetyltransferase	comp11142_c0	Cre09.g396650	-0.43	3.62	0.7	0.97	4.32	5.81	7.22	4.51	4.34	4.09
Phosphate.acetyltransferase	NULL	Cre17.g699000	-	-	-	-	-	-	-	-	-	-
Single.helix.LHC.light.protein	comp11398_c0	Cre02.g109950	0.56	4.91	0.55	0.89	9.58	20.19	11.46	23.40	17.73	26.12
Transcription.factor.regulating.nitrogen.metabolism	comp179681_c0	Cre03.g177700	-1.82	-2.28	0.59	0.9	0.00	1.46	0.79	0.00	0.00	0.62
